"Part";"Value";"Device";"Package";"Description";"DESIGNER";"HOUSEPART";"LABEL01";"LABEL02";"LABEL03";"LABEL04";"LABEL05";"LABEL06";"MPN";"NOTE";"PARTNO";"POPULATE";"PROD_ID";"URL";"VALUE";"VERSION";
"R14";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
"R15";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
"R16";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
"R17";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
"R18";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
"R19";"10k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0710KL";"";"";"";"";"";
"R20";"1k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071KL";"";"";"";"";"";
"R21";"1k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071KL";"";"";"";"";"";
"R22";"100k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100KL";"";"";"";"";"";
"R23";"2.2k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-072K2L";"";"";"";"";"";
"R24";"10k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0710KL";"";"";"";"";"";
"R25";"4.7k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-074K7L";"";"";"";"";"";
"SJ1";"SOLDERJUMPERNC";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"SJ2";"SOLDERJUMPERNC";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"SJ3";"SOLDERJUMPERNC";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"SJ4";"SOLDERJUMPERNC";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"TC1";"TC2030-IDC-NL";"CON_02X03_AVRISP_TC2030-IDC-NL";"TC2030-IDC-NL";"Library:  MF_Connectors";"";"NO";"MISO";"VCC";"SCK";"MOSI";"RST";"GND";"TC2030-IDC-NL";"";"NA";"0";"";"http://www.tag-connect.com/AVRISP";"TC2030-IDC-NL";"";
"U1";"ADP2503";"ADP2503";"DFN300X300X80-11N";"";"";"";"";"";"";"";"";"";"";"";"ADP2503ACPZ-3.3-R7";"";"";"";"";"";
"U2";"";"MCP73871";"QFN20";"";"";"";"";"";"";"";"";"";"";"";"MCP73871-2AAI/ML-ND";"";"";"";"";"";
"U3";"ADP1614";"ADP1614";"DFN300X300X80-11N";"ADP1614ACPZ-R7";"";"";"";"";"";"";"";"";"";"";"ADP1614ACPZ-650-R7";"";"";"";"";"";
"U4";"MAX31856MUD+";"MAX31856MUD+";"TSSOP14";"";"";"";"";"";"";"";"";"";"";"";"MAX31856MUD+";"";"";"";"";"";
"U5";"MAX31856MUD+";"MAX31856MUD+";"TSSOP14";"";"";"";"";"";"";"";"";"";"";"";"MAX31856MUD+";"";"";"";"";"";
"U6";"MAX31856MUD+";"MAX31856MUD+";"TSSOP14";"";"";"";"";"";"";"";"";"";"";"";"MAX31856MUD+";"";"";"";"";"";
"U7";"ATMEGA328P_32PIN-MU";"ATMEGA328P_32PIN-MU";"MLF32_RECTPADS";"Atmel 32-pin 8-bit micro 16k flash.";"";"";"";"";"";"";"";"";"";"";"ATMEGA328P-MU";"";"";"";"";"";
"U8";"RFM69HCW-433MHZ";"RFM69HCW-433MHZ";"RFM69HCW-XXXS2";"";"";"";"";"";"";"";"";"";"";"";"COM-13910";"";"IC-11997, IC-12053";"";"";"";
"U9";"WINBOND_FLASH_4MBIT-SOIC";"WINBOND_FLASH_4MBIT-SOIC";"SOIC8";"";"";"";"";"";"";"";"";"";"";"";"W25X40CLSNIG";"";"";"";"";"";
"Y1";"8MHZ";"RESONATOR8MHZ";"RESONATOR-SMD";"Resonator";"";"";"";"";"";"";"";"";"";"";"CSTCE8M00G55-R0";"";"XTAL-08895";"";"8MHZ";"";
